Delta,Mode_ID,Omega_re,Omega_i,Gamma,Mismatch_Error
0.050,0,0.0037383887344081134,0.4742300626778708,0.09477515126401671,3.0322664099970876e-14
0.150,0,-0.11994497959476028,-8.487304530776368e-09,-1.739182139399646e-09,7.872654656486241e-09
0.200,0,-0.08711567092595787,-4.292497676688265e-09,-8.737225200450212e-10,1.2785023508197687e-08
0.250,0,-0.10007261432538096,-2.752402858832587e-07,-5.61723193465986e-08,1.4192764973940333e-08
0.300,0,-0.05187887164473522,6.24571900435235e-08,1.2622405236931623e-08,1.9405768590155192e-08
0.400,0,-0.020433011598842893,-2.6405420218568612e-08,-5.30275429170336e-09,5.089656075539204e-10
0.400,1,0.3954721934631148,7.267287848040682e-07,1.3469234179068452e-07,9.413342741805712e-07
0.450,0,-0.010410250401199006,0.02195472744968282,0.004400106732512054,1.710823611729113e-16
0.450,1,0.32902831527111726,1.6826839943219515e-08,3.1575812601707747e-09,9.868178972691725e-07
0.500,0,0.2899430705164664,1.4193761261959263e-06,2.6831595487422704e-07,9.356380480534835e-07
0.550,0,0.2319333093564764,1.634680074024352e-06,3.1244283467852847e-07,9.172153157465618e-07
0.600,0,0.18637439706212777,-2.0247495542582555e-07,-3.903978770613233e-08,7.8736333853407e-07
0.650,0,0.1515785036286042,-3.982048440458238e-06,-7.729763678556801e-07,5.434372799159928e-07
0.700,0,0.14641495785657851,-9.407938181035836e-07,-1.8280566682003685e-07,3.406838730446857e-07
