Delta,K,Mode_ID,Omega_re,Omega_im,Gamma,Mismatch_Error
0.3000,0.1000,0,-1.1734835638084413,1.600335241640957e-05,-9.224708130898382e-05,3.286560110215141e-07
0.3000,0.1000,5,0.29420753788607423,0.5572272379641359,0.43055477707562784,1.2901621478959886e-20
0.3000,0.1000,6,-0.2916270414454953,0.5576549729551542,0.7872335698600024,2.600404943358983e-20
0.3000,0.1000,7,0.001175657711364651,0.5632823987579155,0.5626209491005302,5.0771020673153735e-14
0.3000,0.1000,10,-0.05958850799590591,0.11907670428373349,0.1266219152957938,4.735058123106524e-22
0.3003,0.1000,5,0.2945551993498686,0.5572340463585534,0.4304444079622089,3.296515033508466e-14
0.3003,0.1000,6,-0.2919753690917141,0.5576613241963339,0.7876298363814559,4.101742181039446e-14
0.3003,0.1000,7,0.0011756578272908548,0.5632823986220739,0.5626209488997022,1.796416777061218e-14
0.3003,0.1000,10,-0.0594002895284824,0.11931884063229581,0.12685400527338236,1.6391135232173812e-17
0.3007,0.1000,5,0.2949028209522339,0.5572408517572636,0.43033410904726027,3.324931668821908e-14
0.3007,0.1000,6,-0.292323653896742,0.5576676757544262,0.7880264457405732,4.137994267760924e-14
0.3007,0.1000,7,0.0011756579273164674,0.5632823986517689,0.5626209488731518,1.1118457680685523e-14
0.3007,0.1000,10,-0.059212066497741384,0.11956130190970857,0.1270863471479904,1.6569864025983854e-17
0.3010,0.1000,5,0.29525040296284333,0.5572476540910203,0.430223880121044,3.353587906206249e-14
0.3010,0.1000,6,-0.29267189615873634,0.5576740275501516,0.7884233985919822,4.174569923245548e-14
0.3010,0.1000,7,0.0011756580239340579,0.5632823986494313,0.5626209488165217,8.398819607602087e-15
0.3010,0.1000,10,-0.05902384263362156,0.1198040901680471,0.12731894345055142,1.672074391041645e-17
0.3013,0.1000,5,0.2955979454952592,0.557254453339013,0.43011372106336215,3.3824876170735665e-14
0.3013,0.1000,6,-0.2930200959924506,0.5576803795401679,0.7888206954383428,4.21144957875873e-14
0.3013,0.1000,7,0.0011756581197677675,0.5632823986806912,0.5626209487938902,9.415511496051445e-15
0.3013,0.1000,10,-0.058835621648732836,0.1200472074623149,0.12755179671442063,1.6900342355352262e-17
0.3017,0.1000,5,0.2959454486626421,0.5572612494804654,0.4300036317543568,3.411615339726877e-14
0.3017,0.1000,6,-0.29336825351229706,0.5576867316812343,0.7892183367832021,4.248642863093678e-14
0.3017,0.1000,7,0.0011756582194200223,0.5632823986820049,0.5626209487392018,7.90072115089792e-15
0.3017,0.1000,10,-0.05864740729199729,0.12029065581454872,0.12778490944451198,1.706038913177501e-17
0.3020,0.1000,5,0.29629291257775536,0.5572680424946318,0.429893612074505,3.440997687961441e-14
0.3020,0.1000,6,-0.29371636883234803,0.5576930839302107,0.7896163231309972,4.2861531085186624e-14
0.3020,0.1000,7,0.0011756583196352048,0.5632823987114848,0.56262094871233,8.72860864540552e-15
0.3020,0.1000,10,-0.058459203349104955,0.12053443721258077,0.12801828411612903,1.725399396073933e-17
0.3023,0.1000,5,0.2966403373529647,0.5572748323608007,0.4297836619046213,3.470608880181968e-14
0.3023,0.1000,6,-0.2940644420663382,0.5576994362440596,0.7900146549870601,4.3239781415924996e-14
0.3023,0.1000,7,0.0011756584227777787,0.5632823987198777,0.5626209486627511,8.00164330844337e-15
0.3023,0.1000,10,-0.05827101364169201,0.12077855360998056,0.12825192317487705,1.740058935594583e-17
0.3027,0.1000,5,0.29698772310024335,0.5572816190582941,0.4296737811258543,3.500475904949878e-14
0.3027,0.1000,6,-0.2944124733276681,0.5577057885798472,0.7904133328576264,4.3621277236520156e-14
0.3027,0.1000,7,0.0011756584341124482,0.5632823984905656,0.5626209484273387,1.1070810195326997e-13
0.3027,0.1000,10,-0.05808284202772088,0.12102300692415136,0.12848582903477918,1.7581884562683685e-17
0.3030,0.1000,5,0.29733506993117287,0.5572884025664698,0.4295639696196878,3.530579678960389e-14
0.3030,0.1000,6,-0.29476046272940526,0.557712140894742,0.7908123572498351,4.400595299877542e-14
0.3030,0.1000,7,0.0011756582087849648,0.5632823977213983,0.5626209477856997,8.599187279765602e-14
0.3030,0.1000,10,-0.05789469240104132,0.12126779903702242,0.12872000407903916,1.7777493295142396e-17
0.3033,0.1000,5,0.297682377956947,0.5572951828647186,0.42945422726793614,3.560940010088354e-14
0.3033,0.1000,6,-0.2951084103842867,0.5577184931460168,0.7912117286717366,4.439383878798038e-14
0.3033,0.1000,7,0.001175656108837132,0.5632823984872989,0.5626209497307881,5.61236736760455e-14
0.3033,0.1000,10,-0.05770656869061814,0.12151293179300642,0.12895445065785485,1.794775073481444e-17
0.3037,0.1000,5,0.29802964728837333,0.5573019599324687,0.42934455395274745,3.591544359223466e-14
0.3037,0.1000,6,-0.2954563164047236,0.557724845291049,0.7916114476322987,4.478514046705184e-14
0.3037,0.1000,7,0.001175656108837132,0.5632823984872989,0.5626209497307881,3.835413261351716e-14
0.3037,0.1000,10,-0.05751847486121187,0.12175840699897823,0.12918917108857736,1.8123904931625846e-17
0.3040,0.1000,5,0.2983768780358761,0.5573087337491848,0.42923494955659974,3.622401619587882e-14
0.3040,0.1000,6,-0.2958041809027994,0.5577311972873222,0.79201151464141,4.517956490564496e-14
0.3040,0.1000,7,0.0011756559503339659,0.5632823985894417,0.5626209499218835,7.0483462197883874e-15
0.3040,0.1000,10,-0.05733041491235741,0.12200422642311418,0.1294241676544291,1.830027190596656e-17
0.3043,0.1000,5,0.29872407030949877,0.5573155042943674,0.4291254139623004,3.653519165478672e-14
0.3043,0.1000,6,-0.2961520039902773,0.5577375490924247,0.7924119302098862,4.5577512572446893e-14
0.3043,0.1000,7,0.0011756559646306296,0.5632823985880797,0.562620949912489,6.950838870320259e-16
0.3043,0.1000,10,-0.057142392878626595,0.1222503917946474,0.12965944260437004,1.8486032423658638e-17
0.3047,0.1000,5,0.2990712242189053,0.5573222715475558,0.4290159470529861,3.684884784181769e-14
